x,y
14177,20
14197,10
14207,14
14221,22
14243,6
14249,2
14251,30
14281,12
14293,10
14303,18
14321,2
14323,4
14327,14
14341,6
14347,22
14369,18
14387,2
14389,12
14401,6
14407,4
14411,8
14419,4
14423,8
14431,6
14437,10
14447,2
14449,12
14461,18
14479,10
14489,14
14503,16
14519,14
14533,4
14537,6
14543,6
14549,2
14551,6
14557,4
14561,2
14563,28
14591,2
14593,28
14621,6
14627,2
14629,4
14633,6
14639,14
14653,4
14657,12
14669,14
14683,16
14699,14
14713,4
14717,6
14723,8
14731,6
14737,4
14741,6
14747,6
14753,6
14759,8
14767,4
14771,8
14779,4
14783,14
14797,16
14813,8
14821,6
14827,4
14831,12
14843,8
14851,16
14867,2
14869,10
14879,8
14887,4
14891,6
14897,26
14923,6
14929,10
14939,8
14947,4
14951,6
14957,12
14969,14
14983,30
15013,4
15017,14
15031,22
15053,8
15061,12
15073,4
15077,6
15083,8
15091,10
15101,6
15107,14
15121,10
15131,6
15137,2
15139,10
15149,12
15161,12
15173,14
15187,6
15193,6
15199,18
15217,10
15227,6
15233,8
15241,18
15259,4
15263,6
15269,2
15271,6
15277,10
15287,2
15289,10
15299,8
15307,6
15313,6
15319,10
15329,2
15331,18
15349,10
15359,2
15361,12
15373,4
15377,6
15383,8
15391,10
15401,12
15413,14
15427,12
15439,4
15443,8
15451,10
15461,6
15467,6
15473,20
15493,4
15497,14
15511,16
15527,14
15541,10
15551,8
15559,10
15569,12
15581,2
15583,18
15601,6
15607,12
15619,10
15629,12
15641,2
15643,4
15647,2
15649,12
15661,6
15667,4
15671,8
15679,4
15683,44
15727,4
15731,2
15733,4
15737,2
15739,10
15749,12
15761,6
15767,6
15773,14
15787,4
15791,6
15797,6
15803,6
15809,8
15817,6
15823,36
15859,18
15877,4
15881,6
15887,2
15889,12
15901,6
15907,6
15913,6
15919,4
15923,14
15937,22
15959,12
15971,2
15973,18
15991,10
16001,6
16007,26
16033,24
16057,4
16061,2
16063,4
16067,2
16069,4
16073,14
16087,4
16091,6
16097,6
16103,8
16111,16
16127,12
16139,2
16141,42
16183,4
16187,2
16189,4
16193,24
16217,6
16223,6
16229,2
16231,18
16249,4
16253,14
16267,6
16273,28
16301,18
16319,14
16333,6
16339,10
16349,12
16361,2
16363,6
16369,12
16381,30
16411,6
16417,4
16421,6
16427,6
16433,14
16447,4
16451,2
16453,24
16477,4
16481,6
16487,6
16493,26
16519,10
16529,18
16547,6
16553,8
16561,6
16567,6
16573,30
16603,4
16607,12
16619,12
16631,2
16633,16
16649,2
16651,6
16657,4
16661,12
16673,18
16691,2
16693,6
16699,4
16703,26
16729,12
16741,6
16747,12
16759,4
16763,24
16787,24
16811,12
16823,6
16829,2
16831,12
16843,28
16871,8
16879,4
16883,6
16889,12
16901,2
16903,18
16921,6
16927,4
16931,6
16937,6
16943,20
16963,16
16979,2
16981,6
16987,6
16993,18
17011,10
17021,6
17027,2
17029,4
17033,8
17041,6
17047,6
17053,24
17077,16
17093,6
17099,8
17107,10
17117,6
17123,14
17137,22
17159,8
17167,16
17183,6
17189,2
17191,12
17203,4
17207,2
17209,22
17231,8
17239,18
17257,34
17291,2
17293,6
17299,18
17317,4
17321,6
17327,6
17333,8
17341,10
17351,8
17359,18
17377,6
17383,4
17387,2
17389,4
17393,8
17401,16
17417,2
17419,12
17431,12
17443,6
17449,18
17467,4
17471,6
17477,6
17483,6
17489,2
17491,6
17497,12
17509,10
17519,20
17539,12
17551,18
17569,4
17573,6
17579,2
17581,16
17597,2
17599,10
17609,14
17623,4
17627,30
17657,2
17659,10
17669,12
17681,2
17683,24
17707,6
17713,16
17729,8
17737,10
17747,2
17749,12
17761,22
17783,6
17789,2
17791,16
17807,20
17827,10
17837,2
17839,12
17851,12
17863,18
17881,10
17891,12
17903,6
17909,2
17911,10
17921,2
17923,6
17929,10
17939,18
17957,2
17959,12
17971,6
17977,4
17981,6
17987,2
17989,24
18013,28
18041,2
18043,4
18047,2
18049,10
18059,2
18061,16
18077,12
18089,8
18097,22
18119,2
18121,6
18127,4
18131,2
18133,10
18143,6
18149,20
18169,12
18181,10
18191,8
18199,12
18211,6
18217,6
18223,6
18229,4
18233,18
18251,2
18253,4
18257,12
18269,18
18287,2
18289,12
18301,6
18307,4
18311,2
18313,16
18329,12
18341,12
18353,14
18367,4
18371,8
18379,18
18397,4
18401,12
18413,14
18427,6
18433,6
18439,4
18443,8
18451,6
18457,4
18461,20
18481,12
18493,10
18503,14
18517,4
18521,2
18523,16
18539,2
18541,12
18553,30
18583,4
18587,6
18593,24
18617,20
18637,24
18661,10
18671,8
18679,12
18691,10
18701,12
18713,6
18719,12
18731,12
18743,6
18749,8
18757,16
18773,14
18787,6
18793,4
18797,6
18803,36
18839,20
18859,10
18869,30
18899,12
18911,2
18913,4
18917,2
18919,28
18947,12
18959,14
18973,6
18979,22
19001,8
19009,4
19013,18
19031,6
19037,14
19051,18
19069,4
19073,6
19079,2
19081,6
19087,34
19121,18
19139,2
19141,16
19157,6
19163,18
19181,2
19183,24
19207,4
19211,2
19213,6
19219,12
19231,6
19237,12
19249,10
19259,8
19267,6
19273,16
19289,12
19301,8
19309,10
19319,14
19333,40
19373,6
19379,2
19381,6
